volume,author_id,work_id,book,books_in_osis,chapter_start,verse_start,testament_group,osis_ref,passage
volume_1,clement_rome,first_epistle_to_the_corinthians,3John,3John,1,9,new_testament,Bible:3John.1.9,3 John 9
volume_1,clement_rome,first_epistle_to_the_corinthians,1Pet,1Pet,5,1,new_testament,Bible:1Pet.5.1-1Pet.5.5,1 Pet. v. 1–5
volume_1,clement_rome,first_epistle_to_the_corinthians,Phil,Phil,4,3,new_testament,Bible:Phil.4.3,Phil. iv. 3
volume_1,clement_rome,first_epistle_to_the_corinthians,Eph,Eph,5,21,new_testament,Bible:Eph.5.21,Eph. v. 21
volume_1,clement_rome,first_epistle_to_the_corinthians,1Pet,1Pet,5,5,new_testament,Bible:1Pet.5.5,1 Pet. v. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Acts,Acts,20,35,new_testament,Bible:Acts.20.35,Acts xx. 35
volume_1,clement_rome,first_epistle_to_the_corinthians,1Pet,1Pet,2,17,new_testament,Bible:1Pet.2.17,1 Pet. ii. 17
volume_1,clement_rome,first_epistle_to_the_corinthians,Titus,Titus,3,1,new_testament,Bible:Titus.3.1,Tit. iii. 1
volume_1,clement_rome,first_epistle_to_the_corinthians,Prov,Prov,7,3,old_testament_or_other,Bible:Prov.7.3,Prov. vii. 3
volume_1,clement_rome,first_epistle_to_the_corinthians,Deut,Deut,32,15,old_testament_or_other,Bible:Deut.32.15,Deut. xxxii. 15
volume_1,clement_rome,first_epistle_to_the_corinthians,2Cor,2Cor,1,21,new_testament,Bible:2Cor.1.21,2 Cor. i. 21
volume_1,clement_rome,first_epistle_to_the_corinthians,Eph,Eph,4,20,new_testament,Bible:Eph.4.20,Eph. iv. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,Wis,Wis,2,24,deuterocanonical,Bible:Wis.2.24,Wisdom ii. 24
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,4,3,old_testament_or_other,Bible:Gen.4.3-Gen.4.8,Gen. iv. 3–8
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,27,41,old_testament_or_other,Bible:Gen.27.41,Gen. xxvii. 41
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,37,,old_testament_or_other,Bible:Gen.37,Gen. xxxvii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Exod,Exod,2,14,old_testament_or_other,Bible:Exod.2.14,Ex. ii. 14
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,12,14,old_testament_or_other,Bible:Num.12.14-Num.12.15,"Num. xii. 14, 15"
volume_1,clement_rome,first_epistle_to_the_corinthians,Num,Num,16,33,old_testament_or_other,Bible:Num.16.33,Num. xvi. 33
volume_1,clement_rome,first_epistle_to_the_corinthians,1Kgs,1Kgs,18,8,old_testament_or_other,Bible:1Kgs.18.8,1 Kings xviii. 8
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,2,23,old_testament_or_other,Bible:Gen.2.23,Gen. ii. 23
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,7,,old_testament_or_other,Bible:Gen.7,Gen. vii.
volume_1,clement_rome,first_epistle_to_the_corinthians,1Pet,1Pet,3,20,new_testament,Bible:1Pet.3.20,1 Pet. iii. 20
volume_1,clement_rome,first_epistle_to_the_corinthians,2Pet,2Pet,2,5,new_testament,Bible:2Pet.2.5,2 Pet. ii. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Jonah,Jonah,3,,old_testament_or_other,Bible:Jonah.3,Jon. iii.
volume_1,clement_rome,first_epistle_to_the_corinthians,Ezek,Ezek,33,11,old_testament_or_other,Bible:Ezek.33.11,Ezek. xxxiii. 11
volume_1,clement_rome,first_epistle_to_the_corinthians,Ezek,Ezek,18,30,old_testament_or_other,Bible:Ezek.18.30,Ezek. xviii. 30
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,1,18,old_testament_or_other,Bible:Isa.1.18,Isa. i. 18
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,1,16,old_testament_or_other,Bible:Isa.1.16-Isa.1.20,Isa. i. 16–20
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,5,24,old_testament_or_other,Bible:Gen.5.24,Gen. v. 24
volume_1,clement_rome,first_epistle_to_the_corinthians,Heb,Heb,11,5,new_testament,Bible:Heb.11.5,Heb. xi. 5
volume_1,clement_rome,first_epistle_to_the_corinthians,Isa,Isa,41,8,old_testament_or_other,Bible:Isa.41.8,Isa. xli. 8
volume_1,clement_rome,first_epistle_to_the_corinthians,2Chr,2Chr,20,7,old_testament_or_other,Bible:2Chr.20.7,2 Chron. xx. 7
volume_1,clement_rome,first_epistle_to_the_corinthians,Jdt,Jdt,8,19,deuterocanonical,Bible:Jdt.8.19,Judith viii. 19
volume_1,clement_rome,first_epistle_to_the_corinthians,Jas,Jas,2,23,new_testament,Bible:Jas.2.23,Jas. ii. 23
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,12,1,old_testament_or_other,Bible:Gen.12.1-Gen.12.3,Gen. xii. 1–3
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,13,14,old_testament_or_other,Bible:Gen.13.14-Gen.13.16,Gen. xiii. 14–16
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,15,5,old_testament_or_other,Bible:Gen.15.5-Gen.15.6,"Gen. xv. 5, 6"
volume_1,clement_rome,first_epistle_to_the_corinthians,Rom,Rom,4,3,new_testament,Bible:Rom.4.3,Rom. iv. 3
volume_1,clement_rome,first_epistle_to_the_corinthians,Gen,Gen,21,22,old_testament_or_other,Bible:Gen.21.22,Gen. xxi. 22
